defined_class	defined_class_label	stressor
ECTO:8000000	exposure to environmental process	ENVO:02500000
ECTO:8000001	exposure to methane gas emission process 	ENVO:03000094
ECTO:8000002	exposure to atmospheric aerosolisation of dust	ENVO:01001399
ECTO:8000003	exposure to aerosolisation of dust	ENVO:01001398
ECTO:8000004	exposure to lumber production process	ENVO:01001223
ECTO:8000005	exposure to greenhouse effect	ENVO:02500004
ECTO:8000006	exposure to combusion process	ENVO:01000839
ECTO:8000007	exposure to plastic pollution	ENVO:02500040
ECTO:8000008	exposure to climate change	ENVO:01000629
ECTO:8000009	exposure to acidification of an aquatic environment	ENVO:01000630
ECTO:8000010	exposure to volcanic eruption	ENVO:01000634
ECTO:8000011	exposure to earthquake	ENVO:01000677
ECTO:8000012	exposure to tsunami	ENVO:01000689
ECTO:8000013	exposure to soil degradation	ENVO:01000705
ECTO:8000014	exposure to material extraction process	ENVO:01000785
ECTO:8000015	exposure to desertification	ENVO:02500001
ECTO:8000016	exposure to flooding	ENVO:02500002
ECTO:8000017	exposure to atmospheric process	ENVO:02500003
ECTO:8000018	exposure to deforestation	ENVO:02500012
ECTO:8000019	exposure to environmental pollution	ENVO:02500036
ECTO:8000020	exposure to ocean acidification	ENVO:01000631
ECTO:8000021	exposure to tectonic earthquake	ENVO:01000678
ECTO:8000022	exposure to landslide process	ENVO:01000692
ECTO:8000023	exposure to mudslide	ENVO:01000695
ECTO:8000024	exposure to coastal flooding	ENVO:01000707
ECTO:8000025	exposure to riverine flooding	ENVO:01000708
ECTO:8000026	exposure to flash flooding	ENVO:01000709
ECTO:8000027	exposure to metotsunami	ENVO:01000715
ECTO:8000028	exposure to storm surge process	ENVO:01000716
ECTO:8000029	exposure to areal flooding	ENVO:01000717
ECTO:8000030	exposure to urban flooding	ENVO:01000718
ECTO:8000031	exposure to carbon dioxide emission process	ENVO:01000769
ECTO:8000032	exposure to greenhouse effect	ENVO:02500004
ECTO:8000033	exposure to accumulation of toxins from algal bloom process	ENVO:02500024
ECTO:8000034	exposure to degradation of toxins from algal bloom process	ENVO:02500025
ECTO:8000035	exposure to anthropogenic modulatory intervention process	ENVO:02500026
ECTO:8000036	exposure to air pollution	ENVO:02500037
ECTO:8000037	exposure to soil pollution	ENVO:02500038
ECTO:8000038	exposure to water pollution	ENVO:02500039
ECTO:8000039	exposure to plastic pollution	ENVO:02500040
ECTO:8000040	exposure to urban pollution	ENVO:02500044
ECTO:8000041	exposure to drought	ENVO:1000745
ECTO:0000001	exposure to radiation	ENVO:01001023
ECTO:0000002	electromagnetic radiation	ENVO:01001026
ECTO:8000044	sound radiation	ENVO:01001027
ECTO:8000045	gamma radiation	ENVO:21001218
ECTO:8000046	x-ray radiation	ENVO:21001217
ECTO:0000006	ultraviolet radiation	ENVO:21001216
ECTO:0000007	visible light radiation	ENVO:21001215
ECTO:8000049	infrared radiation	ENVO:21001214
ECTO:8000050	far-infrared radiation	ENVO:03500015
ECTO:8000051	mid-infrared radiation	ENVO:03500013
ECTO:8000052	near-infrared radiation	ENVO:03500014
ECTO:8000053	microwave radiation	ENVO:21001212
ECTO:8000054	radiowave radiation	ENVO:21001213
ECTO:8000055	ultrasound radiation	ENVO:03500012
ECTO:7000042	exposure to particle radiation	ENVO:01001024
ECTO:7000045	exposure to stellar radiation	ENVO:01001211
ECTO:7000047	exposure to ionizing radiation	ENVO:21001219
ECTO:7000050	exposure to particle beam radiation	ENVO:01001025
ECTO:7000053	exposure to radiation from a manufactured product	ENVO:21001217
